item_idx,item_id,title,description,text,language,difficulty,theme,software,job,type,duration
1,1,Communiquer : qui peut m'aider ? Qui est disponible ?,"<p>Découvrez comment améliorer votre communication professionnelle avec Microsoft 365. Cette vidéo présente les différentes options de communication disponibles dans la plateforme, ainsi que les personnes et les équipes qui peuvent vous aider.<br />
Obtenez des astuces pratiques pour communiquer efficacement avec vos collègues et clients, ainsi que pour trouver de l&#039;aide en cas de besoin.<br />
Cette vidéo est utile pour les professionnels utilisant Microsoft 365 et souhaitant optimiser leur communication.<br />
Les tags associés sont la découverte, Windows 11 et les astuces.</p>","Communiquer : qui peut m'aider ? Qui est disponible ? [SEP] <p>Découvrez comment améliorer votre communication professionnelle avec Microsoft 365. Cette vidéo présente les différentes options de communication disponibles dans la plateforme, ainsi que les personnes et les équipes qui peuvent vous aider.<br />
Obtenez des astuces pratiques pour communiquer efficacement avec vos collègues et clients, ainsi que pour trouver de l&#039;aide en cas de besoin.<br />
Cette vidéo est utile pour les professionnels utilisant Microsoft 365 et souhaitant optimiser leur communication.<br />
Les tags associés sont la découverte, Windows 11 et les astuces.</p>",fr,1 - Découverte,,,,webcast,1980.0
2,10,Formation Microsoft 365 - Choisir son outil de gestion de tâche,"<p>Découvrez les outils de gestion de tâches de Microsoft 365 dans la formation &#34;Choisir son outil de gestion de tâche&#34;.<br />
Cette formation vous permettra de connaître les avantages de Project et Planner pour une gestion efficace des tâches.<br />
Vous apprendrez à interconnecter ces applications au quotidien et à planifier et suivre l&#039;avancement des tâches.<br />
Que vous ayez besoin d&#039;un outil complet pour de gros projets ou d&#039;une solution simple pour une équipe, cette formation vous aidera à trouver l&#039;outil adapté à vos besoins.<br />
Maîtrisez la gestion des tâches avec Microsoft 365 pour améliorer votre productivité professionnelle.</p>","Formation Microsoft 365 - Choisir son outil de gestion de tâche [SEP] <p>Découvrez les outils de gestion de tâches de Microsoft 365 dans la formation &#34;Choisir son outil de gestion de tâche&#34;.<br />
Cette formation vous permettra de connaître les avantages de Project et Planner pour une gestion efficace des tâches.<br />
Vous apprendrez à interconnecter ces applications au quotidien et à planifier et suivre l&#039;avancement des tâches.<br />
Que vous ayez besoin d&#039;un outil complet pour de gros projets ou d&#039;une solution simple pour une équipe, cette formation vous aidera à trouver l&#039;outil adapté à vos besoins.<br />
Maîtrisez la gestion des tâches avec Microsoft 365 pour améliorer votre productivité professionnelle.</p>",fr,,,,,webcast,2422.0
3,100,Synchronisez OneDrive avec votre ordinateur (Windows 10 - 1709),"Découvrez comment synchroniser facilement votre bibliothèque de documents avec votre ordinateur en utilisant OneDrive dans la vidéo ""Synchronisez OneDrive avec votre ordinateur (Windows 10 - 1709)"".<br>Que vous utilisiez Office 2016 ou que vous téléchargiez gratuitement l'application de synchronisation depuis le site de Microsoft, vous pourrez accéder à vos fichiers localement, même sans connexion Internet.<br>Apprenez à configurer OneDrive, à choisir l'emplacement de stockage de vos fichiers et à synchroniser vos bibliothèques personnelles ou attachées à un site SharePoint.<br>Vous pourrez ainsi travailler sur vos documents en ligne ou hors ligne, et toutes les modifications seront automatiquement synchronisées lorsque vous serez à nouveau connecté.<br>Ne manquez pas cette vidéo pour découvrir comment optimiser votre productivité avec OneDrive.","Synchronisez OneDrive avec votre ordinateur (Windows 10 - 1709) [SEP] Découvrez comment synchroniser facilement votre bibliothèque de documents avec votre ordinateur en utilisant OneDrive dans la vidéo ""Synchronisez OneDrive avec votre ordinateur (Windows 10 - 1709)"".<br>Que vous utilisiez Office 2016 ou que vous téléchargiez gratuitement l'application de synchronisation depuis le site de Microsoft, vous pourrez accéder à vos fichiers localement, même sans connexion Internet.<br>Apprenez à configurer OneDrive, à choisir l'emplacement de stockage de vos fichiers et à synchroniser vos bibliothèques personnelles ou attachées à un site SharePoint.<br>Vous pourrez ainsi travailler sur vos documents en ligne ou hors ligne, et toutes les modifications seront automatiquement synchronisées lorsque vous serez à nouveau connecté.<br>Ne manquez pas cette vidéo pour découvrir comment optimiser votre productivité avec OneDrive.",fr,2 - Intermédiaire,S'organiser,OneDrive,,tutoriel,174.0
4,101,Utiliser des documents dans un dossier de bibliothèque synchronisé (Windows 10 - 1709),"Découvrez comment utiliser efficacement les documents dans un dossier de bibliothèque synchronisé sur Windows 10 - 1709 dans la vidéo ""Utiliser des documents dans un dossier de bibliothèque synchronisé"".<br>Apprenez comment synchroniser votre bibliothèque OneDrive avec votre ordinateur, accéder aux fichiers synchronisés, créer de nouveaux fichiers et gérer la synchronisation.<br>Vous découvrirez également comment partager, afficher et accéder aux documents directement depuis le dossier synchronisé.<br>Cette vidéo est essentielle pour les professionnels utilisant la solution Microsoft 365. Ne manquez pas cette opportunité d'optimiser votre productivité et votre organisation grâce à la synchronisation de vos documents.","Utiliser des documents dans un dossier de bibliothèque synchronisé (Windows 10 - 1709) [SEP] Découvrez comment utiliser efficacement les documents dans un dossier de bibliothèque synchronisé sur Windows 10 - 1709 dans la vidéo ""Utiliser des documents dans un dossier de bibliothèque synchronisé"".<br>Apprenez comment synchroniser votre bibliothèque OneDrive avec votre ordinateur, accéder aux fichiers synchronisés, créer de nouveaux fichiers et gérer la synchronisation.<br>Vous découvrirez également comment partager, afficher et accéder aux documents directement depuis le dossier synchronisé.<br>Cette vidéo est essentielle pour les professionnels utilisant la solution Microsoft 365. Ne manquez pas cette opportunité d'optimiser votre productivité et votre organisation grâce à la synchronisation de vos documents.",fr,2 - Intermédiaire,"Produire, S'organiser",OneDrive,,tutoriel,96.0
5,102,Modifier l’emplacement de synchronisation des bibliothèques avec votre ordinateur (Windows 10 - 1709),"Découvrez comment modifier l'emplacement de synchronisation des bibliothèques avec votre ordinateur dans Windows 10 - 1903. Cette vidéo vous montre comment changer l'emplacement de synchronisation des bibliothèques OneDrive sur votre disque dur, ce qui peut être utile si vous manquez d'espace sur votre disque C.<br>Vous apprendrez également comment arrêter la synchronisation des bibliothèques existantes, sélectionner un nouveau dossier racine pour la synchronisation et gérer la synchronisation des dossiers individuels.<br>Suivez ces étapes simples pour personnaliser la synchronisation de vos bibliothèques OneDrive et optimiser votre espace de stockage.","Modifier l’emplacement de synchronisation des bibliothèques avec votre ordinateur (Windows 10 - 1709) [SEP] Découvrez comment modifier l'emplacement de synchronisation des bibliothèques avec votre ordinateur dans Windows 10 - 1903. Cette vidéo vous montre comment changer l'emplacement de synchronisation des bibliothèques OneDrive sur votre disque dur, ce qui peut être utile si vous manquez d'espace sur votre disque C.<br>Vous apprendrez également comment arrêter la synchronisation des bibliothèques existantes, sélectionner un nouveau dossier racine pour la synchronisation et gérer la synchronisation des dossiers individuels.<br>Suivez ces étapes simples pour personnaliser la synchronisation de vos bibliothèques OneDrive et optimiser votre espace de stockage.",fr,3 - Avancé,S'organiser,OneDrive,,tutoriel,133.0
6,102242,Supprimer l'arrière-plan d'une image,"Découvrez comment supprimer facilement l'arrière-plan d'une image dans la solution Microsoft 365 grâce à la vidéo ""Supprimer l'arrière-plan d'une image"".<br>Cette fonctionnalité est essentielle pour un usage professionnel et vous permettra d'obtenir des images nettes et professionnelles.<br>Apprenez les étapes clés pour supprimer l'arrière-plan, personnaliser la sélection et l'ajuster selon vos besoins.<br>Ne manquez pas cette opportunité d'améliorer vos compétences en retouche d'image dans Microsoft 365.","Supprimer l'arrière-plan d'une image [SEP] Découvrez comment supprimer facilement l'arrière-plan d'une image dans la solution Microsoft 365 grâce à la vidéo ""Supprimer l'arrière-plan d'une image"".<br>Cette fonctionnalité est essentielle pour un usage professionnel et vous permettra d'obtenir des images nettes et professionnelles.<br>Apprenez les étapes clés pour supprimer l'arrière-plan, personnaliser la sélection et l'ajuster selon vos besoins.<br>Ne manquez pas cette opportunité d'améliorer vos compétences en retouche d'image dans Microsoft 365.",fr,3 - Avancé,Nouveauté,PowerPoint,,tutoriel,41.0
7,102243,"Onglet ""Enregistrement""","Découvrez comment utiliser l'onglet ""Enregistrement"" dans Microsoft 365 à des fins professionnelles dans cette vidéo captivante.<br>Vous apprendrez les différentes fonctionnalités de l'onglet, telles que l'enregistrement d'écran, l'enregistrement audio et la capture de mouvements de souris.<br>Cette vidéo vous guidera pas à pas pour vous assurer de tirer le meilleur parti de cette fonctionnalité essentielle de Microsoft 365. Ne manquez pas cette occasion d'améliorer vos compétences et d'optimiser votre utilisation de Microsoft 365.","Onglet ""Enregistrement"" [SEP] Découvrez comment utiliser l'onglet ""Enregistrement"" dans Microsoft 365 à des fins professionnelles dans cette vidéo captivante.<br>Vous apprendrez les différentes fonctionnalités de l'onglet, telles que l'enregistrement d'écran, l'enregistrement audio et la capture de mouvements de souris.<br>Cette vidéo vous guidera pas à pas pour vous assurer de tirer le meilleur parti de cette fonctionnalité essentielle de Microsoft 365. Ne manquez pas cette occasion d'améliorer vos compétences et d'optimiser votre utilisation de Microsoft 365.",fr,3 - Avancé,Nouveauté,PowerPoint,,tutoriel,43.0
8,102244,Réutiliser les diapositives,"Découvrez comment réutiliser efficacement vos diapositives dans Microsoft 365 pour un usage professionnel dans la vidéo ""Réutiliser les diapositives"".<br>Vous apprendrez des techniques pour optimiser votre flux de travail, économiser du temps et créer des présentations cohérentes et professionnelles.<br>Ne manquez pas cette opportunité d'explorer les fonctionnalités avancées de Microsoft 365 et d'améliorer vos compétences en présentation.","Réutiliser les diapositives [SEP] Découvrez comment réutiliser efficacement vos diapositives dans Microsoft 365 pour un usage professionnel dans la vidéo ""Réutiliser les diapositives"".<br>Vous apprendrez des techniques pour optimiser votre flux de travail, économiser du temps et créer des présentations cohérentes et professionnelles.<br>Ne manquez pas cette opportunité d'explorer les fonctionnalités avancées de Microsoft 365 et d'améliorer vos compétences en présentation.",fr,2 - Intermédiaire,Nouveauté,PowerPoint,,tutoriel,38.0
9,102245,Donnez vie à vos présentations avec la fonction Zoom,"Découvrez comment donner vie à vos présentations avec la fonction Zoom dans Microsoft 365. Cette fonctionnalité professionnelle vous permet de créer des présentations dynamiques et engageantes.<br>Apprenez à utiliser le zoom pour mettre en valeur des détails importants, créer des transitions fluides entre les diapositives et captiver votre public.<br>Avec cette fonctionnalité, vos présentations seront plus percutantes et mémorables.<br>Regardez la vidéo ""Donnez vie à vos présentations avec la fonction Zoom"" pour maîtriser cette technique et impressionner vos collègues et clients.","Donnez vie à vos présentations avec la fonction Zoom [SEP] Découvrez comment donner vie à vos présentations avec la fonction Zoom dans Microsoft 365. Cette fonctionnalité professionnelle vous permet de créer des présentations dynamiques et engageantes.<br>Apprenez à utiliser le zoom pour mettre en valeur des détails importants, créer des transitions fluides entre les diapositives et captiver votre public.<br>Avec cette fonctionnalité, vos présentations seront plus percutantes et mémorables.<br>Regardez la vidéo ""Donnez vie à vos présentations avec la fonction Zoom"" pour maîtriser cette technique et impressionner vos collègues et clients.",fr,2 - Intermédiaire,Nouveauté,PowerPoint,,tutoriel,42.0
10,102272,Incorporer des polices dans vos présentations,"Découvrez comment incorporer des polices personnalisées dans vos présentations professionnelles avec Microsoft 365. Dans la vidéo ""Incorporer des polices dans vos présentations"", vous apprendrez comment sélectionner et télécharger des polices adaptées à votre contenu, les installer sur votre ordinateur et les utiliser dans PowerPoint pour créer des présentations uniques et percutantes.<br>Ne manquez pas cette opportunité d'améliorer la qualité visuelle de vos diapositives et de vous démarquer lors de vos prochaines présentations professionnelles.","Incorporer des polices dans vos présentations [SEP] Découvrez comment incorporer des polices personnalisées dans vos présentations professionnelles avec Microsoft 365. Dans la vidéo ""Incorporer des polices dans vos présentations"", vous apprendrez comment sélectionner et télécharger des polices adaptées à votre contenu, les installer sur votre ordinateur et les utiliser dans PowerPoint pour créer des présentations uniques et percutantes.<br>Ne manquez pas cette opportunité d'améliorer la qualité visuelle de vos diapositives et de vous démarquer lors de vos prochaines présentations professionnelles.",fr,2 - Intermédiaire,Nouveauté,PowerPoint,,tutoriel,42.0
