item_idx,item_id,title,description,text,language,difficulty,theme,software,job,type,duration,thumbnail_path
1,1,Communicate: Who Can Help Me? Who Is Available?,"Discover how to improve your professional communication with Microsoft 365. This video covers the platform’s communication options and the people and teams who can help. Get practical tips for communicating with colleagues and clients, and for finding assistance when needed. Useful for Microsoft 365 professionals looking to optimize communication. Tags: discovery, Windows 11, tips.","Communicate: Who Can Help Me? Who Is Available?
Discover how to improve your professional communication with Microsoft 365. This video covers the platform’s communication options and the people and teams who can help. Get practical tips for communicating with colleagues and clients, and for finding assistance when needed. Useful for Microsoft 365 professionals looking to optimize communication. Tags: discovery, Windows 11, tips.",en,1 - Beginner,,,,webcast,1980.0,https://i.ibb.co/Q3PKfhKn/item-1.jpg
2,10,Microsoft 365 Training – Choosing Your Task Management Tool,"Discover Microsoft 365 task management tools in the 'Choosing Your Task Management Tool' training. This course will help you understand the benefits of Project and Planner for effective task management. You will learn how to interconnect these applications daily and plan and track task progress. Whether you need a comprehensive tool for large projects or a simple solution for a team, this training will help you find the right tool for your needs. Master task management with Microsoft 365 to boost your professional productivity.","Microsoft 365 Training – Choosing Your Task Management Tool
Discover Microsoft 365 task management tools in the 'Choosing Your Task Management Tool' training. This course will help you understand the benefits of Project and Planner for effective task management. You will learn how to interconnect these applications daily and plan and track task progress. Whether you need a comprehensive tool for large projects or a simple solution for a team, this training will help you find the right tool for your needs. Master task management with Microsoft 365 to boost your professional productivity.",en,,,,,webcast,2422.0,https://i.ibb.co/KjSJfxxp/item-10.jpg
3,100,Sync OneDrive with Your Computer (Windows 10 - 1709),"Discover how to easily sync your document library with your computer using OneDrive in the video 'Sync OneDrive with Your Computer (Windows 10 - 1709)'. Whether you use Office 2016 or download the free sync app from Microsoft's site, you can access your files locally even without an internet connection. Learn how to set up OneDrive, choose the storage location for your files, and sync your personal libraries or those attached to a SharePoint site. You can then work on your documents online or offline, and all changes will automatically sync when you reconnect. Don't miss this video to learn how to boost your productivity with OneDrive.","Sync OneDrive with Your Computer (Windows 10 - 1709)
Discover how to easily sync your document library with your computer using OneDrive in the video 'Sync OneDrive with Your Computer (Windows 10 - 1709)'. Whether you use Office 2016 or download the free sync app from Microsoft's site, you can access your files locally even without an internet connection. Learn how to set up OneDrive, choose the storage location for your files, and sync your personal libraries or those attached to a SharePoint site. You can then work on your documents online or offline, and all changes will automatically sync when you reconnect. Don't miss this video to learn how to boost your productivity with OneDrive.",en,2 - Intermediate,Organize,OneDrive,,tutorial,174.0,https://i.ibb.co/TMRfpqL9/item-100.jpg
4,101,Use documents in a synchronized library folder (Windows 10 - 1709),"Discover how to effectively use documents in a synchronized library folder on Windows 10 - 1709 in the video ""Use documents in a synchronized library folder"".
Learn how to sync your OneDrive library with your computer, access synchronized files, create new files, and manage synchronization.
You will also discover how to share, view, and access documents directly from the synchronized folder.
This video is essential for professionals using the Microsoft 365 solution. Don't miss this opportunity to optimize your productivity and organization through document synchronization.","Use documents in a synchronized library folder (Windows 10 - 1709)
Discover how to effectively use documents in a synchronized library folder on Windows 10 - 1709 in the video ""Use documents in a synchronized library folder"".
Learn how to sync your OneDrive library with your computer, access synchronized files, create new files, and manage synchronization.
You will also discover how to share, view, and access documents directly from the synchronized folder.
This video is essential for professionals using the Microsoft 365 solution. Don't miss this opportunity to optimize your productivity and organization through document synchronization.",en,2 - Intermediate,"Produce, Organize",OneDrive,,tutorial,96.0,https://i.ibb.co/LhJtW3S7/item-101.jpg
5,102,Change the sync location of libraries with your computer (Windows 10 - 1709),"Discover how to change the sync location of libraries with your computer in Windows 10 - 1903. This video shows you how to change the sync location of OneDrive libraries on your hard drive, which can be useful if you lack space on your C drive.
You will also learn how to stop syncing existing libraries, select a new root folder for syncing, and manage individual folder sync.
Follow these simple steps to customize your OneDrive library sync and optimize your storage space.","Change the sync location of libraries with your computer (Windows 10 - 1709)
Discover how to change the sync location of libraries with your computer in Windows 10 - 1903. This video shows you how to change the sync location of OneDrive libraries on your hard drive, which can be useful if you lack space on your C drive.
You will also learn how to stop syncing existing libraries, select a new root folder for syncing, and manage individual folder sync.
Follow these simple steps to customize your OneDrive library sync and optimize your storage space.",en,3 - Advanced,Organize,OneDrive,,tutorial,133.0,https://i.ibb.co/1fMMWkhB/item-102.jpg
6,102242,Remove Image Background,"Discover how to easily remove the background of an image in Microsoft 365 using the video ""Supprimer l'arrière-plan d'une image"".
This feature is essential for professional use and will allow you to obtain clear, professional images.
Learn the key steps to remove the background, customize the selection, and adjust it to your needs.
Don't miss this opportunity to improve your image editing skills in Microsoft 365.","Remove Image Background
Discover how to easily remove the background of an image in Microsoft 365 using the video ""Supprimer l'arrière-plan d'une image"".
This feature is essential for professional use and will allow you to obtain clear, professional images.
Learn the key steps to remove the background, customize the selection, and adjust it to your needs.
Don't miss this opportunity to improve your image editing skills in Microsoft 365.",en,3 - Advanced,New,PowerPoint,,tutorial,41.0,https://i.ibb.co/60BCp4fw/item-102242.jpg
7,102243,"Tab ""Recording""","Discover how to use the ""Recording"" tab in Microsoft 365 for professional purposes in this engaging video.
You will learn the different features of the tab, such as screen recording, audio recording, and mouse movement capture.
This video will guide you step by step to ensure you get the most out of this essential Microsoft 365 feature. Don't miss this opportunity to improve your skills and optimize your use of Microsoft 365.","Tab ""Recording""
Discover how to use the ""Recording"" tab in Microsoft 365 for professional purposes in this engaging video.
You will learn the different features of the tab, such as screen recording, audio recording, and mouse movement capture.
This video will guide you step by step to ensure you get the most out of this essential Microsoft 365 feature. Don't miss this opportunity to improve your skills and optimize your use of Microsoft 365.",en,3 - Advanced,New,PowerPoint,,tutorial,43.0,https://i.ibb.co/YF6gB2XW/item-102243.jpg
8,102244,Reuse Slides,"Discover how to effectively reuse your slides in Microsoft 365 for professional use in the video ""Reuse Slides"".
You will learn techniques to optimize your workflow, save time, and create consistent and professional presentations.
Don't miss this opportunity to explore advanced Microsoft 365 features and improve your presentation skills.","Reuse Slides
Discover how to effectively reuse your slides in Microsoft 365 for professional use in the video ""Reuse Slides"".
You will learn techniques to optimize your workflow, save time, and create consistent and professional presentations.
Don't miss this opportunity to explore advanced Microsoft 365 features and improve your presentation skills.",en,2 - Intermediate,New,PowerPoint,,tutorial,38.0,https://i.ibb.co/fdqr3Lcn/item-102244.jpg
9,102245,Bring Your Presentations to Life with the Zoom Feature,"Discover how to bring your presentations to life with the Zoom feature in Microsoft 365. This professional feature allows you to create dynamic and engaging presentations. Learn to use zoom to highlight important details, create smooth transitions between slides, and captivate your audience. With this feature, your presentations will be more impactful and memorable. Watch the video ""Bring Your Presentations to Life with the Zoom Feature"" to master this technique and impress your colleagues and clients.","Bring Your Presentations to Life with the Zoom Feature
Discover how to bring your presentations to life with the Zoom feature in Microsoft 365. This professional feature allows you to create dynamic and engaging presentations. Learn to use zoom to highlight important details, create smooth transitions between slides, and captivate your audience. With this feature, your presentations will be more impactful and memorable. Watch the video ""Bring Your Presentations to Life with the Zoom Feature"" to master this technique and impress your colleagues and clients.",en,2 - Intermediate,New,PowerPoint,,tutorial,42.0,https://i.ibb.co/8gkbWskD/item-102245.jpg
10,102272,Incorporate Fonts into Your Presentations,"Discover how to embed custom fonts into your professional presentations with Microsoft 365. In the video ""Incorporate Fonts into Your Presentations"", you'll learn how to select, download, install fonts, and use them in PowerPoint to create unique, impactful slides. Don't miss this opportunity to improve the visual quality of your slides and stand out in your next professional presentations.","Incorporate Fonts into Your Presentations
Discover how to embed custom fonts into your professional presentations with Microsoft 365. In the video ""Incorporate Fonts into Your Presentations"", you'll learn how to select, download, install fonts, and use them in PowerPoint to create unique, impactful slides. Don't miss this opportunity to improve the visual quality of your slides and stand out in your next professional presentations.",en,2 - Intermediate,New,PowerPoint,,tutorial,42.0,https://i.ibb.co/SwM5W0MD/item-102272.jpg
11,102273,Create a Forecast,"Discover how to create a forecast quickly and easily in Microsoft 365 with this practical video.
This resource shows you how to use the forecasting feature in Excel to predict future trends from historical data.
You will also learn how to customize forecast settings to achieve accurate results.
This video is intended for Microsoft 365 professional users who want to improve decision-making using predictive data.
Associated tags are Microsoft 365, Excel, forecasting, data.","Create a Forecast
Discover how to create a forecast quickly and easily in Microsoft 365 with this practical video.
This resource shows you how to use the forecasting feature in Excel to predict future trends from historical data.
You will also learn how to customize forecast settings to achieve accurate results.
This video is intended for Microsoft 365 professional users who want to improve decision-making using predictive data.
Associated tags are Microsoft 365, Excel, forecasting, data.",en,3 - Advanced,New,Excel,,tutorial,49.0,https://i.ibb.co/WT9MgHz/item-102273.jpg
12,102274,"Get Started with ""Ideas"" in Excel","Learn how to use ""Ideas"" in Excel for professional work in Microsoft 365. This powerful feature lets you quickly analyze data and generate smart suggestions for your tables. Activate and use ""Ideas"" to save time and gain valuable insights. Watch the video ""Get Started with 'Ideas' in Excel"" to master this essential feature and boost productivity.","Get Started with ""Ideas"" in Excel
Learn how to use ""Ideas"" in Excel for professional work in Microsoft 365. This powerful feature lets you quickly analyze data and generate smart suggestions for your tables. Activate and use ""Ideas"" to save time and gain valuable insights. Watch the video ""Get Started with 'Ideas' in Excel"" to master this essential feature and boost productivity.",en,1 - Beginner,New,Excel,,tutorial,40.0,https://i.ibb.co/LDSsfCdR/item-102274.jpg
13,109211,What are the best practices with Teams?,"Discover the best practices for effective collaboration with Microsoft Teams in the webinar ""What are the best practices with Teams?"". This course will allow you to identify the best practices for using Teams and promote collaboration in the workplace. You will learn how to disseminate and share these best practices for optimal use of the tool. Also download the complementary document ""10 Practical Tips for Teams"" to strengthen your knowledge. Don't miss this opportunity to improve your productivity and professional communication with Teams.","What are the best practices with Teams?
Discover the best practices for effective collaboration with Microsoft Teams in the webinar ""What are the best practices with Teams?"". This course will allow you to identify the best practices for using Teams and promote collaboration in the workplace. You will learn how to disseminate and share these best practices for optimal use of the tool. Also download the complementary document ""10 Practical Tips for Teams"" to strengthen your knowledge. Don't miss this opportunity to improve your productivity and professional communication with Teams.",en,,,,,webcast,1673.0,https://i.ibb.co/XfgdXcbd/item-109211.jpg
14,11,Office New Features and Improvements,"Discover the latest new features and improvements in Office 2016 to boost your professional productivity with Microsoft 365. This video showcases the new Office 2016 features, such as real‑time collaboration, intelligent search, and enhanced security. Get practical tips for using these features and improving your daily work. This video is useful for professionals using Microsoft 365 who want to optimize their use of Office 2016. The associated tags are new features, improvements, Office 2016, Microsoft 365, and tips.","Office New Features and Improvements
Discover the latest new features and improvements in Office 2016 to boost your professional productivity with Microsoft 365. This video showcases the new Office 2016 features, such as real‑time collaboration, intelligent search, and enhanced security. Get practical tips for using these features and improving your daily work. This video is useful for professionals using Microsoft 365 who want to optimize their use of Office 2016. The associated tags are new features, improvements, Office 2016, Microsoft 365, and tips.",en,,,,,webcast,2932.0,https://i.ibb.co/4wMLgt5G/item-11.jpg
15,110170,First Steps,"Discover how to get started with Microsoft 365 in this practical video for beginners. This resource shows you how to access Microsoft 365 applications, create and share files, and collaborate with colleagues. You will also learn how to customize your user experience to meet your specific needs. This video is intended for new professional Microsoft 365 users who want to familiarize themselves with the platform. Associated tags: Microsoft 365, beginners, applications, collaboration.","First Steps
Discover how to get started with Microsoft 365 in this practical video for beginners. This resource shows you how to access Microsoft 365 applications, create and share files, and collaborate with colleagues. You will also learn how to customize your user experience to meet your specific needs. This video is intended for new professional Microsoft 365 users who want to familiarize themselves with the platform. Associated tags: Microsoft 365, beginners, applications, collaboration.",en,,Discover,Aster,,tutorial,129.0,https://i.ibb.co/sJHdBGQZ/item-110170.jpg
16,110171,Complete the meeting minutes,"Discover how to leverage your team's meeting minutes in Excel with Microsoft Teams in this practical video.
This resource shows you how to create meeting minutes tables in Teams, share them with your collaborators, and use them in Excel to obtain performance indicators.
You will also learn how to create a pivot table to deepen your data analysis.
This video is intended for Microsoft 365 professional users who want to improve their meeting minutes management.
Associated tags are Microsoft 365, Teams, Excel, meeting minutes.","Complete the meeting minutes
Discover how to leverage your team's meeting minutes in Excel with Microsoft Teams in this practical video.
This resource shows you how to create meeting minutes tables in Teams, share them with your collaborators, and use them in Excel to obtain performance indicators.
You will also learn how to create a pivot table to deepen your data analysis.
This video is intended for Microsoft 365 professional users who want to improve their meeting minutes management.
Associated tags are Microsoft 365, Teams, Excel, meeting minutes.",en,,Organize,Aster,,tutorial,157.0,https://i.ibb.co/SX3zWK9b/item-110171.jpg
17,110172,What happens when I create my meeting from Outlook?,"Discover how to efficiently organize a meeting with Outlook Online in this practical video for Microsoft 365 professionals. This resource shows you how to create a meeting using your calendar in Outlook Online, add participants, check their availability, and attach files.
You will also learn how to use Teams during your meeting for online collaboration.
This video is intended for Microsoft 365 professional users who want to improve their meeting organization.
Associated tags are Microsoft 365, Outlook, meeting, Teams.","What happens when I create my meeting from Outlook?
Discover how to efficiently organize a meeting with Outlook Online in this practical video for Microsoft 365 professionals. This resource shows you how to create a meeting using your calendar in Outlook Online, add participants, check their availability, and attach files.
You will also learn how to use Teams during your meeting for online collaboration.
This video is intended for Microsoft 365 professional users who want to improve their meeting organization.
Associated tags are Microsoft 365, Outlook, meeting, Teams.",en,,Organize,Aster,,tutorial,60.0,https://i.ibb.co/1Y2QtrsJ/item-110172.jpg
18,110173,From Agenda to Minutes,"Discover how to use the Microsoft 365 suite tools to move from agenda to minutes in this practical video for professionals.
This resource shows you how to create an agenda in OneNote, send it to meeting participants via Outlook, and take notes during the meeting.
You will also learn how to transform those notes into meeting minutes in OneNote and share them with participants.
This video is intended for Microsoft 365 professional users who want to improve their meeting management.
Associated tags are Microsoft 365, OneNote, Outlook, meeting minutes.","From Agenda to Minutes
Discover how to use the Microsoft 365 suite tools to move from agenda to minutes in this practical video for professionals.
This resource shows you how to create an agenda in OneNote, send it to meeting participants via Outlook, and take notes during the meeting.
You will also learn how to transform those notes into meeting minutes in OneNote and share them with participants.
This video is intended for Microsoft 365 professional users who want to improve their meeting management.
Associated tags are Microsoft 365, OneNote, Outlook, meeting minutes.",en,,,Aster,,tutorial,90.0,https://i.ibb.co/SD4dYM08/item-110173.jpg
19,110174,Contribute to a meeting,"Discover how to join an online meeting from your smartphone with Microsoft Teams in this practical video for Microsoft 365 professionals. This resource shows you how to join a meeting from the Teams app on your smartphone, add participants, turn on the camera, and share files.
You will also learn how to view the shared screen or documents presented by the meeting organizer.
This video is intended for Microsoft 365 professionals who want to improve their participation in online meetings.
Associated tags are Microsoft 365, Teams, online meeting, smartphone.","Contribute to a meeting
Discover how to join an online meeting from your smartphone with Microsoft Teams in this practical video for Microsoft 365 professionals. This resource shows you how to join a meeting from the Teams app on your smartphone, add participants, turn on the camera, and share files.
You will also learn how to view the shared screen or documents presented by the meeting organizer.
This video is intended for Microsoft 365 professionals who want to improve their participation in online meetings.
Associated tags are Microsoft 365, Teams, online meeting, smartphone.",en,,Produce,Aster,,tutorial,115.0,https://i.ibb.co/ks3HH3PK/item-110174.jpg
20,110175,"Connecting to MS Teams, Planner, and SharePoint","Discover how to connect to Microsoft Teams, Planner, and SharePoint in this practical video for Microsoft 365 professionals. This resource shows you how to access these tools from your Office 365 account, how to use Planner to organize and track your team's tasks, how to use Teams to communicate and collaborate with colleagues, and how to use SharePoint to securely store and share files.
This video is intended for Microsoft 365 professional users who want to improve their use of these collaboration tools.
Associated tags are Microsoft 365, Teams, Planner, SharePoint.","Connecting to MS Teams, Planner, and SharePoint
Discover how to connect to Microsoft Teams, Planner, and SharePoint in this practical video for Microsoft 365 professionals. This resource shows you how to access these tools from your Office 365 account, how to use Planner to organize and track your team's tasks, how to use Teams to communicate and collaborate with colleagues, and how to use SharePoint to securely store and share files.
This video is intended for Microsoft 365 professional users who want to improve their use of these collaboration tools.
Associated tags are Microsoft 365, Teams, Planner, SharePoint.",en,,,Aster,,tutorial,151.0,https://i.ibb.co/B2d5kTMt/item-110175.jpg
